Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.7654320987654321,0.7669998500524816,0.7654320987654321,0.7633253367551494
rfe,CNN,0.745679012345679,0.7569161762277861,0.745679012345679,0.7468427772976403
skb,ANN,0.7308641975308642,0.7363682209212734,0.7308641975308642,0.7261828824010074
skb,CNN,0.7580246913580246,0.7610502472743311,0.7580246913580246,0.7590113798542767
fscs,ANN,0.7382716049382716,0.7456967125057908,0.7382716049382716,0.733809300981934
fscs,CNN,0.7209876543209877,0.723461677148916,0.7209876543209877,0.7206219026824914
etc,ANN,0.7753086419753087,0.7737676695944476,0.7753086419753087,0.7709819995302172
etc,CNN,0.7777777777777778,0.7791557186111198,0.7777777777777778,0.77834402754681
pc,ANN,0.7530864197530864,0.75991996505491,0.7530864197530864,0.7488383974384916
pc,CNN,0.7802469135802469,0.7884162321242278,0.7802469135802469,0.7808557688092679
mi,ANN,0.725925925925926,0.7266600818798387,0.725925925925926,0.7208852355142656
mi,CNN,0.7382716049382716,0.7510531130942544,0.7382716049382716,0.7400724591576183
mir,ANN,0.7555555555555555,0.7535250699880148,0.7555555555555555,0.752912406815656
mir,CNN,0.7654320987654321,0.7690911033028428,0.7654320987654321,0.7659657572680357
mu,ANN,0.7061728395061728,0.7029612753883968,0.7061728395061728,0.7013018996435322
mu,CNN,0.7209876543209877,0.7288924577998293,0.7209876543209877,0.7223624253085025
vt,ANN,0.7876543209876543,0.7868106343742434,0.7876543209876543,0.783909653356731
vt,CNN,0.7876543209876543,0.7885362613768412,0.7876543209876543,0.7876455532404995
