Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.762962962962963,0.766687949072897,0.762962962962963,0.760577341007754
rfe,CNN,0.762962962962963,0.7713237847976803,0.762962962962963,0.7635648989434328
skb,ANN,0.7530864197530864,0.7527840384002749,0.7530864197530864,0.7483765573294583
skb,CNN,0.7530864197530864,0.7596328621843025,0.7530864197530864,0.754989413804314
fscs,ANN,0.7530864197530864,0.7561352886160408,0.7530864197530864,0.7498359850642565
fscs,CNN,0.7654320987654321,0.773652162511095,0.7654320987654321,0.7636503050793254
etc,ANN,0.7679012345679013,0.7684825904206409,0.7679012345679013,0.7647151955842756
etc,CNN,0.8,0.8074428314990015,0.8,0.8011168932638686
pc,ANN,0.7580246913580246,0.7576036500055284,0.7580246913580246,0.7554738086600417
pc,CNN,0.745679012345679,0.7561997007108118,0.745679012345679,0.7481079516349172
mi,ANN,0.7407407407407407,0.7415670633449594,0.7407407407407407,0.7375817752470561
mi,CNN,0.7506172839506173,0.7550676021491547,0.7506172839506173,0.7522138032672062
mir,ANN,0.7530864197530864,0.753333064537585,0.7530864197530864,0.7518748391052943
mir,CNN,0.7777777777777778,0.7761074236123282,0.7777777777777778,0.7765273441638293
mu,ANN,0.7209876543209877,0.7217271050370466,0.7209876543209877,0.7193534710015652
mu,CNN,0.725925925925926,0.7402838014068871,0.725925925925926,0.7279086961062328
vt,ANN,0.7925925925925926,0.7920182903516237,0.7925925925925926,0.7899915494128167
vt,CNN,0.8148148148148148,0.813536525651574,0.8148148148148148,0.8132765201905964
