Model,Accuracy,Precision,Recall,F1,Feature Set
Logistic Regression,0.8691358024691358,0.8709200823806642,0.8691358024691358,0.8685945204863073,ETC
SVM,0.854320987654321,0.8556994862362497,0.854320987654321,0.8545739323807405,ETC
Random Forest,0.8444444444444444,0.8455120765624655,0.8444444444444444,0.8440456624495153,ETC
Gradient Boosting,0.837037037037037,0.8384472756315854,0.837037037037037,0.8371351839302962,ETC
KNN,0.7851851851851852,0.7873003969552714,0.7851851851851852,0.7848950655905079,ETC
Decision Tree,0.725925925925926,0.7204289126824935,0.725925925925926,0.7204909948553959,ETC
Logistic Regression,0.8691358024691358,0.8720616893763985,0.8691358024691358,0.8690494204302222,FSCS
SVM,0.8444444444444444,0.8473997351452905,0.8444444444444444,0.8444175692936167,FSCS
Gradient Boosting,0.8271604938271605,0.8317284065975298,0.8271604938271605,0.8266966007448506,FSCS
Random Forest,0.8222222222222222,0.8236585818505383,0.8222222222222222,0.8219780966812915,FSCS
KNN,0.8,0.8020371829670488,0.8,0.799326657842137,FSCS
Decision Tree,0.7185185185185186,0.7202271083576555,0.7185185185185186,0.718326205294625,FSCS
Logistic Regression,0.8814814814814815,0.8828621758867289,0.8814814814814815,0.8810158539758421,MI
SVM,0.854320987654321,0.8561293197216002,0.854320987654321,0.8545730364519526,MI
Random Forest,0.837037037037037,0.8392909649952476,0.837037037037037,0.8370309119469146,MI
Gradient Boosting,0.8246913580246914,0.8263748351932311,0.8246913580246914,0.8245654125959431,MI
KNN,0.7975308641975308,0.800255635754166,0.7975308641975308,0.7965817470480232,MI
Decision Tree,0.7037037037037037,0.6996949358369111,0.7037037037037037,0.7004234317157148,MI
Logistic Regression,0.8740740740740741,0.8742220044155355,0.8740740740740741,0.8738161744319,MIR
SVM,0.8592592592592593,0.8599415159122308,0.8592592592592593,0.859288219366851,MIR
Gradient Boosting,0.8567901234567902,0.8577168691525638,0.8567901234567902,0.8571367971827145,MIR
Random Forest,0.8123456790123457,0.8128835413825362,0.8123456790123457,0.8125124115860802,MIR
KNN,0.782716049382716,0.7828409126834351,0.782716049382716,0.7822035753897585,MIR
Decision Tree,0.7012345679012346,0.6993487036831142,0.7012345679012346,0.6997047888299129,MIR
Logistic Regression,0.837037037037037,0.8391439618734305,0.837037037037037,0.8355466827156945,MU
Gradient Boosting,0.8098765432098766,0.8124930881121118,0.8098765432098766,0.8108047444880137,MU
SVM,0.8098765432098766,0.8113797701087421,0.8098765432098766,0.8101231272532488,MU
Random Forest,0.7925925925925926,0.7968185240542305,0.7925925925925926,0.7935687930080663,MU
KNN,0.7407407407407407,0.7405920041438813,0.7407407407407407,0.7388321905031177,MU
Decision Tree,0.6938271604938272,0.6951520458865861,0.6938271604938272,0.6942854878610621,MU
Logistic Regression,0.8666666666666667,0.866581306667819,0.8666666666666667,0.866312163539475,PC
SVM,0.8518518518518519,0.852248548929818,0.8518518518518519,0.8519353370013134,PC
Gradient Boosting,0.8320987654320988,0.8331238464713642,0.8320987654320988,0.8324343836118298,PC
Random Forest,0.8,0.8021714185112878,0.8,0.8004918660582617,PC
KNN,0.7753086419753087,0.7743029842635112,0.7753086419753087,0.7738035488208385,PC
Decision Tree,0.6938271604938272,0.6962291837525414,0.6938271604938272,0.692805351164832,PC
Logistic Regression,0.837037037037037,0.8383754934463806,0.837037037037037,0.8375183317550154,RFE
SVM,0.8320987654320988,0.835378359977882,0.8320987654320988,0.8327019546835408,RFE
Gradient Boosting,0.8222222222222222,0.825770770215166,0.8222222222222222,0.8231568321030044,RFE
Random Forest,0.8123456790123457,0.8168688248696373,0.8123456790123457,0.8135831536084506,RFE
KNN,0.7950617283950617,0.7979612672150114,0.7950617283950617,0.7946873092940077,RFE
Decision Tree,0.7185185185185186,0.7164106201201248,0.7185185185185186,0.7168998529092866,RFE
Logistic Regression,0.8814814814814815,0.8828621758867289,0.8814814814814815,0.8810158539758421,SKB
SVM,0.854320987654321,0.8561293197216002,0.854320987654321,0.8545730364519526,SKB
Random Forest,0.8271604938271605,0.8298730165044981,0.8271604938271605,0.8258668246156222,SKB
Gradient Boosting,0.8246913580246914,0.8263748351932311,0.8246913580246914,0.8245654125959431,SKB
KNN,0.7975308641975308,0.800255635754166,0.7975308641975308,0.7965817470480232,SKB
Decision Tree,0.7086419753086419,0.7035450890376517,0.7086419753086419,0.7047908181652824,SKB
Logistic Regression,0.8641975308641975,0.8666711924199182,0.8641975308641975,0.8641718725301755,VT
SVM,0.8419753086419753,0.844429673118748,0.8419753086419753,0.8418711846653878,VT
Gradient Boosting,0.8197530864197531,0.8215912911218681,0.8197530864197531,0.8196516058558784,VT
Random Forest,0.8148148148148148,0.8169586565341871,0.8148148148148148,0.8142393403222682,VT
KNN,0.8074074074074075,0.8094993321755349,0.8074074074074075,0.8063815840852437,VT
Decision Tree,0.7382716049382716,0.7408255882185018,0.7382716049382716,0.7381462063023,VT
