Model,features,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,features1,0.79,0.79,0.77,0.80,0.79,0.79,0.77,0.73,0.80
,features2,0.81,0.82,0.81,0.84,0.82,0.82,0.84,0.80,0.83
,features3,0.82,0.82,0.82,0.83,0.82,0.82,0.86,0.80,0.83
,features4,0.83,0.82,0.82,0.84,0.82,0.82,0.84,0.80,0.85
Gradient Boosting,features1,0.74,0.74,0.76,0.76,0.74,0.73,0.75,0.71,0.77
,features2,0.79,0.77,0.77,0.78,0.76,0.77,0.79,0.78,0.78
,features3,0.79,0.80,0.79,0.79,0.79,0.80,0.81,0.77,0.78
,features4,0.78,0.80,0.79,0.78,0.80,0.80,0.82,0.80,0.81
K-Nearest Neighbour (KNN),features1,0.72,0.67,0.66,0.70,0.67,0.71,0.69,0.64,0.68
,features2,0.71,0.73,0.72,0.72,0.70,0.73,0.71,0.66,0.73
,features3,0.79,0.76,0.75,0.76,0.75,0.76,0.76,0.70,0.74
,features4,0.75,0.73,0.75,0.75,0.73,0.73,0.77,0.74,0.74
Random Forest,features1,0.77,0.72,0.73,0.76,0.74,0.74,0.76,0.72,0.75
,features2,0.79,0.78,0.80,0.78,0.78,0.77,0.79,0.76,0.77
,features3,0.79,0.78,0.79,0.79,0.78,0.78,0.78,0.79,0.78
,features4,0.78,0.77,0.78,0.80,0.76,0.77,0.80,0.79,0.78
Decision Tree,features1,0.66,0.62,0.68,0.64,0.61,0.61,0.68,0.67,0.66
,features2,0.67,0.68,0.71,0.70,0.66,0.66,0.67,0.68,0.66
,features3,0.69,0.68,0.72,0.68,0.68,0.69,0.69,0.70,0.67
,features4,0.71,0.67,0.69,0.69,0.67,0.67,0.72,0.72,0.71
Support Vector Machine (SVM),features1,0.78,0.78,0.76,0.79,0.78,0.76,0.75,0.72,0.80
,features2,0.82,0.81,0.81,0.82,0.82,0.81,0.82,0.79,0.80
,features3,0.83,0.81,0.80,0.80,0.81,0.81,0.82,0.77,0.81
,features4,0.80,0.80,0.81,0.82,0.80,0.80,0.82,0.79,0.81
ANN,features1,0.77,0.73,0.74,0.78,0.75,0.73,0.76,0.71,0.79
,features2,0.79,0.78,0.79,0.78,0.79,0.77,0.83,0.78,0.79
,features3,0.82,0.81,0.79,0.79,0.77,0.80,0.80,0.78,0.81
,features4,0.80,0.76,0.80,0.82,0.80,0.79,0.84,0.77,0.82
CNN,features1,0.75,0.76,0.72,0.78,0.78,0.74,0.77,0.72,0.79
,features2,0.78,0.76,0.79,0.78,0.80,0.77,0.83,0.77,0.82
,features3,0.81,0.80,0.81,0.80,0.79,0.81,0.83,0.78,0.80
,features4,0.78,0.78,0.81,0.81,0.79,0.80,0.84,0.79,0.83
