Model,features,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,feature1,0.79,0.79,0.77,0.80,0.79,0.79,0.77,0.73,0.80
,feature2,0.82,0.82,0.81,0.84,0.83,0.82,0.84,0.80,0.83
,feature3,0.82,0.82,0.82,0.83,0.82,0.82,0.86,0.80,0.83
,feature4,0.83,0.82,0.82,0.84,0.82,0.82,0.84,0.79,0.84
Gradient Boosting,feature1,0.74,0.74,0.76,0.76,0.74,0.73,0.75,0.71,0.75
,feature2,0.79,0.77,0.77,0.78,0.76,0.77,0.77,0.78,0.78
,feature3,0.79,0.80,0.79,0.79,0.79,0.80,0.81,0.77,0.78
,feature4,0.78,0.80,0.79,0.78,0.80,0.80,0.79,0.80,0.79
K-Nearest Neighbour (KNN),feature1,0.72,0.67,0.68,0.72,0.67,0.71,0.72,0.69,0.71
,feature3,0.72,0.72,0.72,0.74,0.71,0.72,0.73,0.69,0.74
,feature3,0.78,0.77,0.77,0.76,0.75,0.77,0.78,0.73,0.77
,feature4,0.75,0.75,0.73,0.76,0.75,0.75,0.76,0.72,0.77
Random Forest,feature1,0.77,0.74,0.73,0.75,0.73,0.75,0.75,0.73,0.77
,feature2,0.79,0.78,0.79,0.80,0.78,0.78,0.78,0.79,0.80
,feature3,0.79,0.77,0.78,0.79,0.78,0.80,0.80,0.79,0.80
,feature4,0.78,0.78,0.78,0.78,0.78,0.77,0.82,0.80,0.80
Decision Tree,feature1,0.69,0.65,0.69,0.68,0.65,0.65,0.71,0.66,0.71
,feature2,0.73,0.69,0.74,0.68,0.68,0.69,0.69,0.67,0.72
,feature3,0.73,0.66,0.70,0.68,0.66,0.66,0.69,0.70,0.72
,feature4,0.74,0.70,0.73,0.74,0.70,0.70,0.72,0.71,0.71
Support Vector Machine (SVM),feature1,0.78,0.78,0.76,0.79,0.78,0.76,0.75,0.72,0.80
,feature2,0.82,0.81,0.81,0.82,0.82,0.81,0.82,0.79,0.80
,feature3,0.83,0.81,0.80,0.80,0.81,0.81,0.82,0.77,0.81
,feature4,0.80,0.80,0.81,0.82,0.80,0.80,0.82,0.79,0.81
